Dataset,DP_PPR,DP_SGD,Feature_Aware,Sigma,TopK,Accuracy,Epsilon,Accuracy_Std,Epsilon_Std
data/cora_ml,True,True,False,0.15082,4,0.48544,1.1312639491146967,0.04270445410024581,0.0
data/cora_ml,True,True,False,0.08104,4,0.45757999999999993,2.206053317942913,0.04521961521286973,0.0
data/cora_ml,True,True,False,0.05619,4,0.44582,3.263939910842594,0.11533915900508376,0.0
data/cora_ml,True,True,False,0.04326,4,0.4452,4.313994994815165,0.08144458238581619,0.0
data/cora_ml,True,True,False,0.03526,4,0.46003999999999995,5.363034437923216,0.08118577707948604,0.0
data/cora_ml,True,True,False,0.02983,4,0.47119999999999995,6.406301171609444,0.08636154236695869,8.881784197001252e-16
data/cora_ml,True,True,False,0.0259,4,0.42478,7.442893554003019,0.033313324661462404,0.0
data/cora_ml,True,True,False,0.15082,5,0.47802000000000006,1.1312639491146967,0.08128715519686981,0.0
data/cora_ml,True,True,False,0.08104,5,0.48484,2.206053317942913,0.07161825465619781,0.0
data/cora_ml,True,True,False,0.05619,5,0.4805,3.263939910842594,0.033513400304952666,0.0
data/cora_ml,True,True,False,0.04326,5,0.45078000000000007,4.313994994815165,0.055091102729932735,0.0
data/cora_ml,True,True,False,0.03526,5,0.46316000000000007,5.363034437923216,0.11757864772142944,0.0
data/cora_ml,True,True,False,0.02983,5,0.43777999999999995,6.406301171609444,0.022367780399494275,8.881784197001252e-16
data/cora_ml,True,True,False,0.0259,5,0.44086,7.442893554003019,0.01668179846419445,0.0
data/cora_ml,True,True,False,0.15082,6,0.43964,1.1312639491146967,0.06704480889673713,0.0
data/cora_ml,True,True,False,0.08104,6,0.43098000000000003,2.206053317942913,0.07168105467974085,0.0
data/cora_ml,True,True,False,0.05619,6,0.4551,3.263939910842594,0.04604649823819396,0.0
data/cora_ml,True,True,False,0.04326,6,0.45138,4.313994994815165,0.06673096432691498,0.0
data/cora_ml,True,True,False,0.03526,6,0.45202,5.363034437923216,0.07146729042016355,0.0
data/cora_ml,True,True,False,0.02983,6,0.4867,6.406301171609444,0.06995175480286396,8.881784197001252e-16
data/cora_ml,True,True,False,0.0259,6,0.46996000000000004,7.442893554003019,0.06590337168916323,0.0
data/cora_ml,True,True,False,0.15082,7,0.38576,1.1312639491146967,0.030854925052574676,0.0
data/cora_ml,True,True,False,0.08104,7,0.42538,2.206053317942913,0.06813983856746361,0.0
data/cora_ml,True,True,False,0.05619,7,0.3938,3.263939910842594,0.02253290926622658,0.0
data/cora_ml,True,True,False,0.04326,7,0.44830000000000003,4.313994994815165,0.11631954264009123,0.0
data/cora_ml,True,True,False,0.03526,7,0.48046,5.363034437923216,0.06801889737418568,0.0
data/cora_ml,True,True,False,0.02983,7,0.43902,6.406301171609444,0.024253527578478144,8.881784197001252e-16
data/cora_ml,True,True,False,0.0259,7,0.47062,7.442893554003019,0.10322409408660364,0.0
data/cora_ml,True,True,False,0.15082,8,0.38268,1.1312639491146967,0.04262888222789802,0.0
data/cora_ml,True,True,False,0.08104,8,0.45944,2.206053317942913,0.04586382452434598,0.0
data/cora_ml,True,True,False,0.05619,8,0.43034,3.263939910842594,0.08444014684970651,0.0
data/cora_ml,True,True,False,0.04326,8,0.45509999999999995,4.313994994815165,0.07977508382947646,0.0
data/cora_ml,True,True,False,0.03526,8,0.42476,5.363034437923216,0.04442785612653395,0.0
data/cora_ml,True,True,False,0.02983,8,0.44026,6.406301171609444,0.09790349534107554,8.881784197001252e-16
data/cora_ml,True,True,False,0.0259,8,0.4452,7.442893554003019,0.04391783236909582,0.0
data/cora_ml,False,False,True,,2,0.7263,0.0,0.039003640855694494,0.0
data/cora_ml,False,False,True,,3,0.70092,0.0,0.04517793266629185,0.0
data/cora_ml,False,False,True,,4,0.6885399999999999,0.0,0.03769114484862458,0.0
data/cora_ml,False,False,True,,5,0.73378,0.0,0.015522035948934025,0.0
data/cora_ml,False,False,True,,6,0.66688,0.0,0.08282312237533672,0.0
data/cora_ml,False,False,True,,7,0.6910399999999999,0.0,0.08141839104281047,0.0
data/cora_ml,False,False,True,,8,0.73004,0.0,0.02899948965068179,0.0
data/cora_ml,True,False,True,0.15082,2,0.54982,1.1312639491146967,0.07224451259438323,0.0
data/cora_ml,True,False,True,0.08104,2,0.5028,2.206053317942913,0.08082853456546146,0.0
data/cora_ml,True,False,True,0.05619,2,0.5622400000000001,3.263939910842594,0.06396122575435839,0.0
data/cora_ml,True,False,True,0.04326,2,0.44954,4.313994994815165,0.05941015401427604,0.0
data/cora_ml,True,False,True,0.03526,2,0.53806,5.363034437923216,0.029535849403733064,0.0
data/cora_ml,True,False,True,0.02983,2,0.57708,6.406301171609444,0.05065607169925438,8.881784197001252e-16
data/cora_ml,True,False,True,0.0259,2,0.46873999999999993,7.442893554003019,0.08446112952121823,0.0
data/cora_ml,True,False,True,0.15082,3,0.5665799999999999,1.1312639491146967,0.037183404900573584,0.0
data/cora_ml,True,False,True,0.08104,3,0.5727399999999999,2.206053317942913,0.0420489999881091,0.0
data/cora_ml,True,False,True,0.05619,3,0.43962,3.263939910842594,0.06501764068312538,0.0
data/cora_ml,True,False,True,0.04326,3,0.52816,4.313994994815165,0.051872482107568375,0.0
data/cora_ml,True,False,True,0.03526,3,0.5709199999999999,5.363034437923216,0.09124957862916407,0.0
data/cora_ml,True,False,True,0.02983,3,0.47056000000000003,6.406301171609444,0.06563171794186101,8.881784197001252e-16
data/cora_ml,True,False,True,0.0259,3,0.5455,7.442893554003019,0.09020858052314092,0.0
data/cora_ml,True,False,True,0.15082,4,0.57464,1.1312639491146967,0.08963603293319043,0.0
data/cora_ml,True,False,True,0.08104,4,0.5826800000000001,2.206053317942913,0.09189403462684614,0.0
data/cora_ml,True,False,True,0.05619,4,0.45328,3.263939910842594,0.036508267556815126,0.0
data/cora_ml,True,False,True,0.04326,4,0.53002,4.313994994815165,0.10385068897219699,0.0
data/cora_ml,True,False,True,0.03526,4,0.5331,5.363034437923216,0.09719775717577027,0.0
data/cora_ml,True,False,True,0.02983,4,0.60866,6.406301171609444,0.035803161871544226,8.881784197001252e-16
data/cora_ml,True,False,True,0.0259,4,0.5417799999999999,7.442893554003019,0.04472276377863962,0.0
data/cora_ml,True,False,True,0.15082,5,0.5969,1.1312639491146967,0.07296593725842215,0.0
data/cora_ml,True,False,True,0.08104,5,0.5709199999999999,2.206053317942913,0.09215086326236993,0.0
data/cora_ml,True,False,True,0.05619,5,0.52942,3.263939910842594,0.05792620823081723,0.0
data/cora_ml,True,False,True,0.04326,5,0.49906000000000006,4.313994994815165,0.0543398417369797,0.0
data/cora_ml,True,False,True,0.03526,5,0.48174,5.363034437923216,0.07618956883983528,0.0
data/cora_ml,True,False,True,0.02983,5,0.52756,6.406301171609444,0.10270155987130866,8.881784197001252e-16
data/cora_ml,True,False,True,0.0259,5,0.52384,7.442893554003019,0.10806935920972235,0.0
data/cora_ml,True,False,True,0.15082,6,0.61176,1.1312639491146967,0.06994290814657338,0.0
data/cora_ml,True,False,True,0.08104,6,0.55542,2.206053317942913,0.028759026409111967,0.0
data/cora_ml,True,False,True,0.05619,6,0.5709000000000001,3.263939910842594,0.050881470104547875,0.0
data/cora_ml,True,False,True,0.04326,6,0.52818,4.313994994815165,0.0807384270344673,0.0
data/cora_ml,True,False,True,0.03526,6,0.50898,5.363034437923216,0.06057244918277618,0.0
data/cora_ml,True,False,True,0.02983,6,0.58266,6.406301171609444,0.010587653186613194,8.881784197001252e-16
data/cora_ml,True,False,True,0.0259,6,0.49474,7.442893554003019,0.0742340514858242,0.0
data/cora_ml,True,False,True,0.15082,7,0.58452,1.1312639491146967,0.0811763118157015,0.0
data/cora_ml,True,False,True,0.08104,7,0.53126,2.206053317942913,0.1052167591213491,0.0
data/cora_ml,True,False,True,0.05619,7,0.587,3.263939910842594,0.05821494653437378,0.0
data/cora_ml,True,False,True,0.04326,7,0.5511,4.313994994815165,0.06825367389379124,0.0
data/cora_ml,True,False,True,0.03526,7,0.53252,5.363034437923216,0.038131687610175345,0.0
data/cora_ml,True,False,True,0.02983,7,0.5616199999999999,6.406301171609444,0.07106879483992957,8.881784197001252e-16
data/cora_ml,True,False,True,0.0259,7,0.53498,7.442893554003019,0.0710011098504805,0.0
data/cora_ml,True,False,True,0.15082,8,0.5461400000000001,1.1312639491146967,0.06201962915077774,0.0
data/cora_ml,True,False,True,0.08104,8,0.55358,2.206053317942913,0.0429554839339519,0.0
data/cora_ml,True,False,True,0.05619,8,0.5616,3.263939910842594,0.05099345055985129,0.0
data/cora_ml,True,False,True,0.04326,8,0.58638,4.313994994815165,0.04765154352169508,0.0
data/cora_ml,True,False,True,0.03526,8,0.5455,5.363034437923216,0.13840700849306728,0.0
data/cora_ml,True,False,True,0.02983,8,0.5442800000000001,6.406301171609444,0.08523044995774691,8.881784197001252e-16
data/cora_ml,True,False,True,0.0259,8,0.56348,7.442893554003019,0.04846967711879252,0.0
data/cora_ml,False,True,True,,2,0.57152,0.0,0.0671915589936712,0.0
data/cora_ml,False,True,True,,3,0.52074,0.0,0.04867921938568858,0.0
data/cora_ml,False,True,True,,4,0.55172,0.0,0.008178361694129216,0.0
data/cora_ml,False,True,True,,5,0.55724,0.0,0.03441584518793632,0.0
data/cora_ml,False,True,True,,6,0.5058800000000001,0.0,0.056969795506039866,0.0
data/cora_ml,False,True,True,,7,0.58638,0.0,0.09042564680443264,0.0
data/cora_ml,False,True,True,,8,0.63842,0.0,0.05599237090890151,0.0
data/cora_ml,True,True,True,0.15082,2,0.4619,1.1312639491146967,0.03533072317403085,0.0
data/cora_ml,True,True,True,0.08104,2,0.42164,2.206053317942913,0.056696405529804116,0.0
data/cora_ml,True,True,True,0.05619,2,0.43716,3.263939910842594,0.03154131259158377,0.0
data/cora_ml,True,True,True,0.04326,2,0.44522000000000006,4.313994994815165,0.06454559318807132,0.0
data/cora_ml,True,True,True,0.03526,2,0.40371999999999997,5.363034437923216,0.04833389700820739,0.0
data/cora_ml,True,True,True,0.02983,2,0.41487999999999997,6.406301171609444,0.08373303768525302,8.881784197001252e-16
data/cora_ml,True,True,True,0.0259,2,0.44396,7.442893554003019,0.05540442581599418,0.0
data/cora_ml,True,True,True,0.15082,3,0.43529999999999996,1.1312639491146967,0.08436183971441116,0.0
data/cora_ml,True,True,True,0.08104,3,0.41302000000000005,2.206053317942913,0.04365214313180969,0.0
data/cora_ml,True,True,True,0.05619,3,0.47308000000000006,3.263939910842594,0.09708463112151171,0.0
data/cora_ml,True,True,True,0.04326,3,0.426,4.313994994815165,0.05423633468441613,0.0
data/cora_ml,True,True,True,0.03526,3,0.45698,5.363034437923216,0.08723115039938426,0.0
data/cora_ml,True,True,True,0.02983,3,0.4768,6.406301171609444,0.10467167716244924,8.881784197001252e-16
data/cora_ml,True,True,True,0.0259,3,0.42478,7.442893554003019,0.04645911751206644,0.0
data/cora_ml,True,True,True,0.15082,4,0.47862,1.1312639491146967,0.07351041830924378,0.0
data/cora_ml,True,True,True,0.08104,4,0.37707999999999997,2.206053317942913,0.012461845770189913,0.0
data/cora_ml,True,True,True,0.05619,4,0.39194,3.263939910842594,0.08028034877851489,0.0
data/cora_ml,True,True,True,0.04326,4,0.44643999999999995,4.313994994815165,0.06526146182855543,0.0
data/cora_ml,True,True,True,0.03526,4,0.42600000000000005,5.363034437923216,0.061264116740552155,0.0
data/cora_ml,True,True,True,0.02983,4,0.38761999999999996,6.406301171609444,0.02212974468899269,8.881784197001252e-16
data/cora_ml,True,True,True,0.0259,4,0.40434000000000003,7.442893554003019,0.028821908333765824,0.0
data/cora_ml,True,True,True,0.15082,5,0.44458000000000003,1.1312639491146967,0.06881995059573934,0.0
data/cora_ml,True,True,True,0.08104,5,0.45944,2.206053317942913,0.05884748422829986,0.0
data/cora_ml,True,True,True,0.05619,5,0.44088000000000005,3.263939910842594,0.04082476699259899,0.0
data/cora_ml,True,True,True,0.04326,5,0.457,4.313994994815165,0.03982476616378306,0.0
data/cora_ml,True,True,True,0.03526,5,0.44645999999999997,5.363034437923216,0.06633266465324607,0.0
data/cora_ml,True,True,True,0.02983,5,0.45142000000000004,6.406301171609444,0.05702741095297946,8.881784197001252e-16
data/cora_ml,True,True,True,0.0259,5,0.44517999999999996,7.442893554003019,0.03812911748257493,0.0
data/cora_ml,True,True,True,0.15082,6,0.42726,1.1312639491146967,0.10185885528514446,0.0
data/cora_ml,True,True,True,0.08104,6,0.4062,2.206053317942913,0.0472396020304998,0.0
data/cora_ml,True,True,True,0.05619,6,0.4607,3.263939910842594,0.10758427394373213,0.0
data/cora_ml,True,True,True,0.04326,6,0.44148,4.313994994815165,0.09537512044553337,0.0
data/cora_ml,True,True,True,0.03526,6,0.47924,5.363034437923216,0.05312598610849496,0.0
data/cora_ml,True,True,True,0.02983,6,0.42972,6.406301171609444,0.06121893171233877,8.881784197001252e-16
data/cora_ml,True,True,True,0.0259,6,0.47738,7.442893554003019,0.055213382435782735,0.0
data/cora_ml,True,True,True,0.15082,7,0.43714000000000003,1.1312639491146967,0.06047242677452262,0.0
data/cora_ml,True,True,True,0.08104,7,0.46624,2.206053317942913,0.07900601496088765,0.0
data/cora_ml,True,True,True,0.05619,7,0.43904,3.263939910842594,0.08701693168573572,0.0
data/cora_ml,True,True,True,0.04326,7,0.42600000000000005,4.313994994815165,0.0691510809749204,0.0
data/cora_ml,True,True,True,0.03526,7,0.4829800000000001,5.363034437923216,0.05651546337065635,0.0
data/cora_ml,True,True,True,0.02983,7,0.46006,6.406301171609444,0.07952178569423601,8.881784197001252e-16
data/cora_ml,True,True,True,0.0259,7,0.42912,7.442893554003019,0.038103721603014055,0.0
data/cora_ml,True,True,True,0.15082,8,0.42538,1.1312639491146967,0.06018944758011989,0.0
data/cora_ml,True,True,True,0.08104,8,0.39752,2.206053317942913,0.03497698671984193,0.0
data/cora_ml,True,True,True,0.05619,8,0.47182,3.263939910842594,0.056227302976401064,0.0
data/cora_ml,True,True,True,0.04326,8,0.41240000000000004,4.313994994815165,0.02191921531442219,0.0
data/cora_ml,True,True,True,0.03526,8,0.44210000000000005,5.363034437923216,0.0400656461323164,0.0
data/cora_ml,True,True,True,0.02983,8,0.45264,6.406301171609444,0.028072164148850377,8.881784197001252e-16
data/cora_ml,True,True,True,0.0259,8,0.4483,7.442893554003019,0.06754379320115211,0.0
